symbol,close,date,high,low,month,open,volume,daily_return,cumulative_return
ADANIENT,2387.25,2023-10-03 05:30:00,2424.9,2372.0,2023-10,2418.0,2019899,,
ADANIENT,2464.95,2023-10-04 05:30:00,2502.75,2392.25,2023-10,2402.2,2857377,0.03254791077599739,1.0325479107759974
ADANIENT,2466.35,2023-10-05 05:30:00,2486.5,2446.4,2023-10,2477.95,1132455,0.0005679628390029556,1.0331343596188083
ADANIENT,2478.1,2023-10-06 05:30:00,2514.95,2466.05,2023-10,2466.35,1510035,0.004764125124171237,1.0380563409781127
ADANIENT,2442.6,2023-10-09 05:30:00,2459.7,2411.3,2023-10,2440.0,1408224,-0.014325491303821436,1.023185673892554
ADANIENT,2498.3,2023-10-10 05:30:00,2517.95,2443.0,2023-10,2443.0,1771910,0.022803569966429293,1.046517959995811
ADANIENT,2488.6,2023-10-11 05:30:00,2538.0,2482.5,2023-10,2533.9,1627836,-0.0038826401953329093,1.0424547072991934
ADANIENT,2506.35,2023-10-12 05:30:00,2521.75,2490.65,2023-10,2499.9,1804818,0.007132524310857535,1.049890040841973
ADANIENT,2454.55,2023-10-13 05:30:00,2495.0,2422.35,2023-10,2488.9,2278682,-0.020667504538472214,1.0281914336579747
ADANIENT,2429.35,2023-10-16 05:30:00,2464.7,2421.85,2023-10,2454.55,803856,-0.010266647654356253,1.0176353544873808
ADANIENT,2428.4,2023-10-17 05:30:00,2462.0,2423.5,2023-10,2459.95,707543,-0.00039105110420478706,1.0172374070583308
ADANIENT,2406.35,2023-10-18 05:30:00,2441.75,2401.05,2023-10,2440.0,776977,-0.009080052709603104,1.0080008377840612
ADANIENT,2402.2,2023-10-19 05:30:00,2414.7,2382.55,2023-10,2400.0,1168822,-0.0017246036528352215,1.006262435857158
ADANIENT,2393.75,2023-10-20 05:30:00,2443.95,2382.05,2023-10,2398.05,1240350,-0.0035176088585462395,1.0027227981987645
ADANIENT,2308.65,2023-10-23 05:30:00,2412.35,2301.8,2023-10,2397.8,1483549,-0.035550913838120035,0.9670750863964817
ADANIENT,2257.0,2023-10-25 05:30:00,2348.05,2235.3,2023-10,2320.0,1540819,-0.022372382128083568,0.9454393130170702
ADANIENT,2203.2,2023-10-26 05:30:00,2249.0,2167.05,2023-10,2249.0,2226073,-0.023836951705804243,0.9229029217719136
ADANIENT,2261.7,2023-10-27 05:30:00,2275.0,2212.0,2023-10,2222.0,1244293,0.026552287581699252,0.9474081055607919
ADANIENT,2299.1,2023-10-30 05:30:00,2305.0,2250.0,2023-10,2260.05,996448,0.01653623380642877,0.9630746675044509
ADANIENT,2294.65,2023-10-31 05:30:00,2320.0,2276.0,2023-10,2320.0,1155280,-0.0019355399939106066,0.9612105979683739
ADANIENT,2217.3,2023-11-01 05:30:00,2312.25,2207.0,2023-11,2299.0,1666579,-0.03370884448608713,0.9288092994030792
ADANIENT,2215.3,2023-11-02 05:30:00,2297.95,2204.2,2023-11,2247.0,2340997,-0.0009019979254047961,0.9279715153419209
ADANIENT,2229.85,2023-11-03 05:30:00,2279.0,2215.0,2023-11,2215.3,1853300,0.006567959192885775,0.934066394386847
ADANIENT,2246.0,2023-11-06 05:30:00,2260.0,2233.0,2023-11,2253.95,770061,0.007242639639437609,0.9408315006806998
ADANIENT,2233.35,2023-11-07 05:30:00,2260.0,2226.65,2023-11,2257.0,641554,-0.005632235084594872,0.9355325164938739
ADANIENT,2259.95,2023-11-08 05:30:00,2298.0,2235.0,2023-11,2245.3,1169180,0.011910358877918803,0.9466750445072785
ADANIENT,2214.65,2023-11-09 05:30:00,2272.6,2210.1,2023-11,2269.0,1267890,-0.02004469125423114,0.9276992355220446
ADANIENT,2205.1,2023-11-10 05:30:00,2237.0,2198.5,2023-11,2220.25,1072597,-0.004312193800374842,0.923698816630014
ADANIENT,2211.35,2023-11-12 05:30:00,2226.0,2205.1,2023-11,2219.7,148320,0.0028343385787492625,0.9263168918211334
ADANIENT,2213.65,2023-11-13 05:30:00,2241.9,2195.55,2023-11,2215.5,853633,0.001040088633640135,0.9272803434914655
ADANIENT,2225.4,2023-11-15 05:30:00,2250.0,2220.5,2023-11,2240.0,696475,0.005307975515551178,0.93220232485077
ADANIENT,2205.9,2023-11-16 05:30:00,2232.8,2196.1,2023-11,2226.0,1307584,-0.00876246966837424,0.9240339302544772
ADANIENT,2208.8,2023-11-17 05:30:00,2237.95,2201.0,2023-11,2205.9,916518,0.0013146561494175035,0.9252487171431567
ADANIENT,2149.85,2023-11-20 05:30:00,2218.5,2142.0,2023-11,2211.0,1577213,-0.026688699746468814,0.9005550319405176
ADANIENT,2196.65,2023-11-21 05:30:00,2232.55,2158.35,2023-11,2160.0,1839502,0.021768960625159872,0.9201591789716203
ADANIENT,2172.65,2023-11-22 05:30:00,2225.0,2153.5,2023-11,2205.15,1247205,-0.010925727812805874,0.9101057702377214
ADANIENT,2175.25,2023-11-23 05:30:00,2190.0,2160.6,2023-11,2190.0,729114,0.0011966952799575825,0.911194889517227
ADANIENT,2225.45,2023-11-24 05:30:00,2251.95,2160.9,2023-11,2179.0,1946259,0.023077807148603524,0.9322232694522987
ADANIENT,2423.5,2023-11-28 05:30:00,2512.4,2275.0,2023-11,2301.0,11972275,0.08899323732278863,1.015184836108493
ADANIENT,2396.6,2023-11-29 05:30:00,2477.65,2390.0,2023-11,2468.7,4561574,-0.011099649267588219,1.0039166404859148
ADANIENT,2358.55,2023-11-30 05:30:00,2409.0,2343.05,2023-11,2400.05,2983879,-0.01587665859968279,0.9879777987223795
ADANIENT,2362.7,2023-12-01 05:30:00,2403.35,2354.1,2023-12,2370.0,1792983,0.001759555659197165,0.9897162006492826
ADANIENT,2531.2,2023-12-04 05:30:00,2595.0,2487.45,2023-12,2549.95,5681516,0.07131671392897965,1.060299507801864
ADANIENT,2959.35,2023-12-05 05:30:00,2999.9,2531.2,2023-12,2531.2,22879079,0.16914902022756007,1.2396481306943135
ADANIENT,2883.95,2023-12-06 05:30:00,3154.55,2844.85,2023-12,3080.0,19355777,-0.025478567928768125,1.208063671588648
ADANIENT,2887.15,2023-12-07 05:30:00,2945.9,2853.05,2023-12,2900.0,6325887,0.0011095892785937256,1.2094041260865012
ADANIENT,2822.15,2023-12-08 05:30:00,2927.0,2760.0,2023-12,2902.7,6959428,-0.02251355142614686,1.1821761440988585
ADANIENT,2855.8,2023-12-11 05:30:00,2919.9,2811.05,2023-12,2837.05,5064123,0.011923533476250414,1.196271860927846
ADANIENT,2857.65,2023-12-12 05:30:00,2895.95,2840.55,2023-12,2869.1,2017772,0.0006478044680999773,1.1970468111844172
ADANIENT,2875.05,2023-12-13 05:30:00,2899.1,2805.0,2023-12,2860.0,2805832,0.006088919216838962,1.204335532516494
ADANIENT,2894.05,2023-12-14 05:30:00,2932.95,2887.0,2023-12,2900.95,3224681,0.006608580720335322,1.2122944810974972
ADANIENT,2991.8,2023-12-15 05:30:00,3000.0,2893.9,2023-12,2912.05,4921484,0.033776195988320934,1.253241177086606
ADANIENT,2980.6,2023-12-18 05:30:00,3027.75,2961.1,2023-12,2993.95,2315922,-0.0037435657463734673,1.2485495863441198
ADANIENT,2941.25,2023-12-19 05:30:00,2994.35,2915.0,2023-12,2988.8,1741493,-0.013202039857746706,1.2320661849408316
ADANIENT,2783.85,2023-12-20 05:30:00,2968.0,2766.2,2023-12,2946.0,3417739,-0.05351466213344669,1.1661325793276784
ADANIENT,2799.75,2023-12-21 05:30:00,2821.95,2725.0,2023-12,2750.0,2678577,0.005711514629020975,1.1727929626138864
ADANIENT,2808.35,2023-12-22 05:30:00,2847.6,2791.4,2023-12,2815.95,1513956,0.003071702830609757,1.1763954340768668
